BIM,target,variable,lag,correlation
BIM-09,OD,EC,2,-0.7937834134323388
BIM-09,OD,EC,3,-0.6933752452815362
BIM-09,OD,EC,4,1.0
BIM-09,OD,EC,5,
BIM-09,OD,EC_Norm,-5,
BIM-09,OD,EC_Norm,-4,1.0
BIM-09,OD,EC_Norm,-3,0.944911182523068
BIM-09,OD,EC_Norm,-2,-0.6295512999397901
BIM-09,OD,EC_Norm,-1,-0.9241799954777008
BIM-09,OD,EC_Norm,0,-0.9615538909352358
BIM-09,OD,EC_Norm,1,-0.8953995994458198
BIM-09,OD,EC_Norm,2,-0.793783413432339
BIM-09,OD,EC_Norm,3,-0.6933752452815359
BIM-09,OD,EC_Norm,4,0.9999999999999999
BIM-09,OD,EC_Norm,5,
BIM-09,OD,OD_Norm,-5,
BIM-09,OD,OD_Norm,-4,-1.0
BIM-09,OD,OD_Norm,-3,0.5447047794019222
BIM-09,OD,OD_Norm,-2,0.9337177817218322
BIM-09,OD,OD_Norm,-1,0.8402793004306022
BIM-09,OD,OD_Norm,0,1.0
BIM-09,OD,OD_Norm,1,0.8402793004306022
BIM-09,OD,OD_Norm,2,0.9337177817218323
BIM-09,OD,OD_Norm,3,0.5447047794019219
BIM-09,OD,OD_Norm,4,-1.0
BIM-09,OD,OD_Norm,5,
BIM-12,OD,pH,-5,-0.6181127304372719
BIM-12,OD,pH,-4,-0.5380582273761579
BIM-12,OD,pH,-3,-0.5709112537662507
BIM-12,OD,pH,-2,-0.6766179829817879
BIM-12,OD,pH,-1,-0.40157120434186155
BIM-12,OD,pH,0,-0.29439950950942595
BIM-12,OD,pH,1,0.06788038937251242
BIM-12,OD,pH,2,-0.08263164506057391
BIM-12,OD,pH,3,0.47519775601948633
BIM-12,OD,pH,4,0.27310641632663063
BIM-12,OD,pH,5,0.3158272058076171
BIM-12,OD,pH_Norm,-5,-0.6181127304372719
BIM-12,OD,pH_Norm,-4,-0.538058227376158
BIM-12,OD,pH_Norm,-3,-0.5709112537662507
BIM-12,OD,pH_Norm,-2,-0.676617982981788
BIM-12,OD,pH_Norm,-1,-0.40157120434186155
BIM-12,OD,pH_Norm,0,-0.2943995095094258
BIM-12,OD,pH_Norm,1,0.06788038937251245
BIM-12,OD,pH_Norm,2,-0.0826316450605738
BIM-12,OD,pH_Norm,3,0.47519775601948616
BIM-12,OD,pH_Norm,4,0.27310641632663063
BIM-12,OD,pH_Norm,5,0.3158272058076172
BIM-12,OD,Temperatura (°C),-5,0.1112726542196724
BIM-12,OD,Temperatura (°C),-4,-0.15602706819180048
BIM-12,OD,Temperatura (°C),-3,-0.28596970722806786
BIM-12,OD,Temperatura (°C),-2,-0.316171364715541
BIM-12,OD,Temperatura (°C),-1,0.0029233907030691356
BIM-12,OD,Temperatura (°C),0,0.07457524447281016
BIM-12,OD,Temperatura (°C),1,-0.14243384476011633
BIM-12,OD,Temperatura (°C),2,-0.523868563637933
BIM-12,OD,Temperatura (°C),3,-0.32334290211007977
BIM-12,OD,Temperatura (°C),4,0.16746694652053462
BIM-12,OD,Temperatura (°C),5,0.3838370386972005
BIM-12,OD,Temp_Norm,-5,-0.618112730437272
BIM-12,OD,Temp_Norm,-4,-0.5380582273761582
BIM-12,OD,Temp_Norm,-3,-0.5709112537662505
BIM-12,OD,Temp_Norm,-2,-0.6766179829817877
BIM-12,OD,Temp_Norm,-1,-0.40157120434186155
BIM-12,OD,Temp_Norm,0,-0.29439950950942595
BIM-12,OD,Temp_Norm,1,0.06788038937251252
BIM-12,OD,Temp_Norm,2,-0.08263164506057391
BIM-12,OD,Temp_Norm,3,0.4751977560194862
BIM-12,OD,Temp_Norm,4,0.2731064163266307
BIM-12,OD,Temp_Norm,5,0.31582720580761714
BIM-12,OD,EC,-5,0.44677769399258954
BIM-12,OD,EC,-4,0.7591651571248916
BIM-12,OD,EC,-3,0.5654675637089631
BIM-12,OD,EC,-2,0.7397007685329705
BIM-12,OD,EC,-1,0.35823903765917653
BIM-12,OD,EC,0,0.27228382118217126
BIM-12,OD,EC,1,-0.07577510530613102
BIM-12,OD,EC,2,0.11521362310087294
BIM-12,OD,EC,3,-0.2972751863984332
BIM-12,OD,EC,4,-0.2257787659303069
BIM-12,OD,EC,5,-0.3426569398573645
BIM-12,OD,EC_Norm,-5,0.4467776939925895
BIM-12,OD,EC_Norm,-4,0.7591651571248919
BIM-12,OD,EC_Norm,-3,0.5654675637089634
BIM-12,OD,EC_Norm,-2,0.7397007685329706
BIM-12,OD,EC_Norm,-1,0.35823903765917664
BIM-12,OD,EC_Norm,0,0.27228382118217137
BIM-12,OD,EC_Norm,1,-0.07577510530613099
BIM-12,OD,EC_Norm,2,0.11521362310087296
BIM-12,OD,EC_Norm,3,-0.29727518639843326
BIM-12,OD,EC_Norm,4,-0.225778765930307
BIM-12,OD,EC_Norm,5,-0.3426569398573645
BIM-12,OD,OD_Norm,-5,-0.23812051154738242
BIM-12,OD,OD_Norm,-4,0.052737182381043
BIM-12,OD,OD_Norm,-3,-0.3821396890526003
BIM-12,OD,OD_Norm,-2,0.34566285423000875
BIM-12,OD,OD_Norm,-1,-0.18091336427310412
BIM-12,OD,OD_Norm,0,1.0
BIM-12,OD,OD_Norm,1,-0.18091336427310414
BIM-12,OD,OD_Norm,2,0.34566285423000875
BIM-12,OD,OD_Norm,3,-0.3821396890526004
BIM-12,OD,OD_Norm,4,0.052737182381042996
BIM-12,OD,OD_Norm,5,-0.23812051154738242
BIM-13,OD,pH,-5,-0.23853426290011343
BIM-13,OD,pH,-4,-0.3735639530533533
BIM-13,OD,pH,-3,-0.4062427725538719
BIM-13,OD,pH,-2,-0.3643188259438586
BIM-13,OD,pH,-1,-0.21275680100091168
BIM-13,OD,pH,0,0.2616288033802842
BIM-13,OD,pH,1,0.1100549000689376
BIM-13,OD,pH,2,-0.040479964452169184
BIM-13,OD,pH,3,0.00671730816133176
BIM-13,OD,pH,4,-0.2593733348019266
BIM-13,OD,pH,5,-0.18124896541153837
BIM-13,OD,pH_Norm,-5,-0.23853426290011348
BIM-13,OD,pH_Norm,-4,-0.37356395305335327
BIM-13,OD,pH_Norm,-3,-0.4062427725538717
BIM-13,OD,pH_Norm,-2,-0.36431882594385856
BIM-13,OD,pH_Norm,-1,-0.21275680100091166
BIM-13,OD,pH_Norm,0,0.2616288033802842
BIM-13,OD,pH_Norm,1,0.11005490006893756
BIM-13,OD,pH_Norm,2,-0.040479964452169205
BIM-13,OD,pH_Norm,3,0.006717308161331777
BIM-13,OD,pH_Norm,4,-0.2593733348019266
BIM-13,OD,pH_Norm,5,-0.18124896541153837
BIM-13,OD,Temperatura (°C),-5,-0.17951704873495034
BIM-13,OD,Temperatura (°C),-4,-0.389331002188625
BIM-13,OD,Temperatura (°C),-3,-0.5062818377621288
BIM-13,OD,Temperatura (°C),-2,-0.49487820118986375
BIM-13,OD,Temperatura (°C),-1,-0.3197049163520748
BIM-13,OD,Temperatura (°C),0,-0.029347428431480572
BIM-13,OD,Temperatura (°C),1,0.19786717755936312
BIM-13,OD,Temperatura (°C),2,0.2690871300655568
BIM-13,OD,Temperatura (°C),3,0.23347588341320577
BIM-13,OD,Temperatura (°C),4,0.05179458517551559
BIM-13,OD,Temperatura (°C),5,-0.27612399231595847
BIM-13,OD,Temp_Norm,-5,-0.23853426290011345
BIM-13,OD,Temp_Norm,-4,-0.37356395305335327
BIM-13,OD,Temp_Norm,-3,-0.40624277255387164
BIM-13,OD,Temp_Norm,-2,-0.36431882594385867
BIM-13,OD,Temp_Norm,-1,-0.21275680100091168
BIM-13,OD,Temp_Norm,0,0.26162880338028416
BIM-13,OD,Temp_Norm,1,0.11005490006893756
BIM-13,OD,Temp_Norm,2,-0.04047996445216916
BIM-13,OD,Temp_Norm,3,0.00671730816133181
BIM-13,OD,Temp_Norm,4,-0.25937333480192665
BIM-13,OD,Temp_Norm,5,-0.18124896541153837
BIM-13,OD,EC,-5,0.017687174923782103
BIM-13,OD,EC,-4,0.18836781750057602
BIM-13,OD,EC,-3,0.14926683501531945
BIM-13,OD,EC,-2,0.10482185648730273
BIM-13,OD,EC,-1,-0.07821309637944229
BIM-13,OD,EC,0,-0.35626738933187246
BIM-13,OD,EC,1,-0.46296736701546165
BIM-13,OD,EC,2,-0.4288154006792517
BIM-13,OD,EC,3,-0.4334187577542785
BIM-13,OD,EC,4,-0.36782001630756433
BIM-13,OD,EC,5,0.07448435814033268
BIM-13,OD,EC_Norm,-5,0.01768717492378208
