BIM,variable,count,mean,median,mode,std,variance,min,p05,p25,p50,p75,p95,max,skewness,kurtosis,coefficient_variation
BIM-15,EC_Norm,14,0.20496894409937888,0.1739130434782609,-0.2608695652173913,0.3845302051547227,0.14786347867633312,-0.3043478260869565,-0.2760869565217391,-0.20652173913043478,0.1739130434782609,0.5434782608695652,0.6956521739130435,0.6956521739130435,-0.041523055505361305,-1.5509034040314749,1.8760413039366775
BIM-15,OD,14,0.6895714285714286,0.655,0.565,0.10044494418927623,0.010089186813186816,0.565,0.56565,0.61375,0.655,0.78225,0.8364999999999999,0.856,0.40029358941532206,-1.4046617701823627,0.14566285670705068
BIM-15,OD_Norm,14,0.3930691994460811,0.190830523112543,-0.3356585929623711,0.5875907764489563,0.3452629205678873,-0.3356585929623711,-0.3318561715684967,-0.05047698842179263,0.190830523112543,0.935227634451796,1.2525835738636182,1.36665621567985,0.40029358941532356,-1.4046617701823596,1.4948787065407259
BIM-15,Delta_pH_1d,14,-0.01642857142857146,-0.004999999999999893,-0.009999999999999787,0.12929436556568485,0.016717032967032957,-0.2699999999999996,-0.21149999999999963,-0.10500000000000019,-0.004999999999999893,0.07249999999999956,0.1609999999999996,0.2000000000000011,-0.2748704058809996,-0.24777654034540442,-7.870091817041672
BIM-17,pH,16,8.872499999999999,9.06,9.07,0.5618362750837649,0.31565999999999994,7.55,7.797499999999999,8.9825,9.06,9.1675,9.335,9.35,-1.6384678664360104,1.3773818303847465,0.0633233333427743
BIM-17,pH_Norm,16,1.3730041288484656,1.6968386399553044,1.714109813881002,0.9703572024738042,0.9415931003927873,-0.9111086228251031,-0.4836470681640761,1.562987042031145,1.6968386399553044,1.882503759656559,2.1717959229120005,2.197702683800547,-1.6384678664360188,1.3773818303847678,0.7067401926078983
BIM-17,Temperatura (°C),16,16.0625,16.45,15.4,1.6181779877380609,2.6185,12.6,12.674999999999999,15.375,16.45,17.175,17.75,18.2,-1.0873389147786237,0.7755651421582321,0.10074259845840068
BIM-17,Temp_Norm,16,0.8794168233984633,1.1073508408338721,1.11950732176376,0.6829951963775355,0.4664824382747882,-0.7282777795792856,-0.4274048765645462,1.0131381136272368,1.1073508408338721,1.2380330108301731,1.4416540664058042,1.459888787800637,-1.6384678664360177,1.3773818303847651,0.7766455885368828
BIM-17,EC,16,2216.875,2130.0,2090.0,222.85178183417486,49662.916666666664,2080.0,2087.5,2090.0,2130.0,2150.0,2672.5,2680.0,1.7308165141151088,1.2274324212467036,0.10052519056517614
BIM-17,EC_Norm,16,-0.7961956521739132,-1.173913043478261,-1.347826086956522,0.9689207905833689,0.9388074984247007,-1.391304347826087,-1.358695652173913,-1.347826086956522,-1.173913043478261,-1.08695652173913,1.1847826086956523,1.217391304347826,1.7308165141151095,1.2274324212467054,-1.2169380577975415
BIM-17,OD,16,0.7110624999999999,0.8445,0.86,0.23951241269156245,0.05736619583333333,0.249,0.258,0.585,0.8445,0.8605,0.8905000000000001,0.898,-1.2629908718830463,-0.04201951271731019,0.3368373563386657
BIM-17,OD_Norm,16,0.5187893683342077,1.299382606403611,1.390055731949846,1.401118649410563,1.9631334697260798,-2.184220378292068,-2.1315714666845764,-0.21866101161239007,1.299382606403611,1.3929806714835955,1.5684770435085666,1.61235113651481,-1.2629908718830474,-0.04201951271730797,2.7007466515928145
BIM-17,Delta_pH_1d,16,-0.10812499999999994,-0.02499999999999991,-0.0600000000000005,0.2733305386035986,0.07470958333333333,-1.06,-0.5125000000000002,-0.06250000000000044,-0.02499999999999991,0.0049999999999998926,0.0600000000000005,0.08999999999999986,-3.185901982897292,11.048440183073694,-2.5279124957558268
BIM-20,pH,19,8.325263157894737,8.29,7.79,0.39554980612156426,0.15645964912280708,7.79,7.862,7.975,8.29,8.67,8.935,8.98,0.3162423460463087,-1.3381643674559918,0.04751198834435277
